Att.1,Yds.1,Y/A,TD.1,player_id
13.0,49.0,3.77,0.0,NwanKe00
5.0,18.0,3.6,0.0,OladCh00
0.0,0.0,0.0,0.0,PettDa00
0.0,0.0,0.0,0.0,StolJa00
0.0,0.0,0.0,0.0,ThomIa00
0.0,0.0,0.0,0.0,ThraJa01
0.0,0.0,0.0,0.0,WallTy00
5.0,37.0,7.4,1.0,BrowBr06
1.0,2.0,2.0,0.0,ConkTy00
5.0,-2.0,-0.4,0.0,DaltAn00
0.0,0.0,0.0,0.0,DissWi00
26.0,96.0,3.69,0.0,GiddDJ00
5.0,50.0,10.0,0.0,MiltJo00
2.0,11.0,5.5,0.0,MoorSk01
10.0,44.0,4.4,0.0,PrenAd00
0.0,0.0,0.0,0.0,WhylJo01
0.0,0.0,0.0,0.0,BandMi00
0.0,0.0,0.0,0.0,ConnTa00
0.0,0.0,0.0,0.0,CoopDa01
20.0,94.0,4.7,0.0,EtieTr01
15.0,61.0,4.07,0.0,HarrNa00
0.0,0.0,0.0,0.0,HeatMa00
5.0,18.0,3.6,1.0,MafaPh00
0.0,0.0,0.0,0.0,MartDa01
0.0,0.0,0.0,0.0,MillRy01
0.0,0.0,0.0,0.0,OgleAn00
14.0,49.0,3.5,0.0,ShipWi00
4.0,18.0,4.5,0.0,TiptMa00
0.0,0.0,0.0,0.0,WashCa01
0.0,0.0,0.0,0.0,WestNi00
10.0,36.0,3.6,0.0,WillTr06
0.0,0.0,0.0,0.0,BellRo01
17.0,78.0,4.59,0.0,BrooBr01
0.0,0.0,0.0,0.0,BrowNo00
0.0,0.0,0.0,0.0,DeguJo00
14.0,43.0,3.07,0.0,EkelAu00
28.0,69.0,2.46,0.0,JohnKa03
5.0,22.0,4.4,0.0,PickKe00
4.0,3.0,0.75,0.0,StovCa00
5.0,19.0,3.8,0.0,AkerCa00
0.0,0.0,0.0,0.0,CulpDe00
12.0,58.0,4.83,0.0,KineCo00
0.0,0.0,0.0,0.0,McClRa00
0.0,0.0,0.0,0.0,ProcJa00
4.0,13.0,3.25,0.0,SmitAr01
0.0,0.0,0.0,0.0,WeavXa00
17.0,47.0,2.76,0.0,ChanTy01
12.0,60.0,5.0,0.0,DillAJ00
17.0,47.0,2.76,0.0,HaskHa00
16.0,52.0,3.25,0.0,HerbKh00
2.0,9.0,4.5,0.0,IngoAl01
0.0,0.0,0.0,0.0,JoneCh11
0.0,0.0,0.0,0.0,MillSc01
0.0,0.0,0.0,0.0,MoreFo00
12.0,32.0,2.67,0.0,WhitZa01
0.0,0.0,0.0,0.0,AndeRo04
0.0,0.0,0.0,0.0,BateBr00
16.0,45.0,2.81,0.0,BrooTa00
0.0,0.0,0.0,0.0,FirkAn00
19.0,48.0,2.53,0.0,HullEv00
