Tgt_rec,Rec,Yds_rec,Y/R,TD_rec,player_id
85.0,55.0,724.0,13.16,6.0,DoubRo00
16.0,14.0,96.0,6.86,0.0,AllgTy00
35.0,30.0,277.0,9.23,3.0,IrviBu00
14.0,11.0,37.0,3.36,0.0,DobbJK00
92.0,57.0,696.0,12.21,5.0,TuckTr00
35.0,32.0,192.0,6.0,1.0,HampOm00
32.0,24.0,207.0,8.63,2.0,SkatCa00
102.0,77.0,889.0,11.55,3.0,JohnJu02
45.0,40.0,218.0,5.45,0.0,WhitRa01
122.0,81.0,777.0,9.59,4.0,AlleKe00
90.0,44.0,661.0,15.02,6.0,OdunRo00
22.0,16.0,136.0,8.5,1.0,VidaKi00
110.0,75.0,835.0,11.13,3.0,MeyeJa01
2.0,1.0,0.0,0.0,0.0,RattSp00
92.0,59.0,687.0,11.64,2.0,ShahRa00
78.0,53.0,571.0,10.77,5.0,RiceRa01
55.0,35.0,611.0,17.46,6.0,WatsCh00
106.0,82.0,777.0,9.48,3.0,SchuDa00
68.0,52.0,519.0,9.98,6.0,BarnAJ00
39.0,30.0,223.0,7.43,3.0,HubbCh01
95.0,72.0,719.0,9.99,4.0,ShakKh00
79.0,42.0,610.0,14.52,3.0,AddiJo00
46.0,33.0,551.0,16.7,6.0,BoutKa00
41.0,28.0,199.0,7.11,1.0,JoneAa00
19.0,18.0,151.0,8.39,0.0,SingDe00
91.0,48.0,707.0,14.73,2.0,ThomBr06
74.0,49.0,587.0,11.98,5.0,BrowMa04
68.0,41.0,525.0,12.8,6.0,HiggJa00
4.0,3.0,30.0,10.0,0.0,RodrCh00
73.0,41.0,608.0,14.83,4.0,HarrMa09
49.0,39.0,571.0,14.64,5.0,KincDa00
56.0,43.0,408.0,9.49,8.0,ParkCo02
44.0,32.0,489.0,15.28,6.0,KrafTu00
