2PM,2PP,player_id
0.0,0.0,SchoLu00
0.0,0.0,SkowBe00
0.0,0.0,JackSh01
0.0,0.0,MorrQu00
1.0,0.0,ReynJo00
0.0,0.0,AdkiNa00
0.0,0.0,LambKe01
0.0,0.0,MundJo00
0.0,0.0,NwanKe00
0.0,0.0,OladCh00
0.0,0.0,PettDa00
0.0,0.0,StolJa00
0.0,0.0,ThomIa00
0.0,0.0,ThraJa01
0.0,0.0,WallTy00
0.0,0.0,BrowBr06
0.0,0.0,ConkTy00
0.0,0.0,DaltAn00
0.0,0.0,DissWi00
0.0,0.0,GiddDJ00
0.0,0.0,MiltJo00
0.0,0.0,MoorSk01
0.0,0.0,PrenAd00
0.0,0.0,WhylJo01
0.0,0.0,BandMi00
0.0,0.0,ConnTa00
0.0,0.0,CoopDa01
0.0,0.0,EtieTr01
0.0,0.0,HarrNa00
0.0,0.0,HeatMa00
0.0,0.0,MafaPh00
0.0,0.0,MartDa01
0.0,0.0,MillRy01
0.0,0.0,OgleAn00
0.0,0.0,ShipWi00
0.0,0.0,TiptMa00
0.0,0.0,WashCa01
0.0,0.0,WestNi00
0.0,0.0,WillTr06
0.0,0.0,BellRo01
0.0,0.0,BrooBr01
0.0,0.0,BrowNo00
0.0,0.0,DeguJo00
0.0,0.0,EkelAu00
0.0,0.0,JohnKa03
0.0,0.0,PickKe00
0.0,0.0,StovCa00
0.0,0.0,AkerCa00
0.0,0.0,CulpDe00
0.0,0.0,KineCo00
0.0,0.0,McClRa00
0.0,0.0,ProcJa00
0.0,0.0,SmitAr01
0.0,0.0,WeavXa00
0.0,0.0,ChanTy01
0.0,0.0,DillAJ00
0.0,0.0,HaskHa00
0.0,0.0,HerbKh00
0.0,0.0,IngoAl01
0.0,0.0,JoneCh11
0.0,0.0,MillSc01
0.0,0.0,MoreFo00
0.0,0.0,WhitZa01
0.0,0.0,AndeRo04
0.0,0.0,BateBr00
0.0,0.0,BrooTa00
0.0,0.0,FirkAn00
0.0,0.0,HullEv00
0.0,0.0,KinsMa00
0.0,0.0,LarvGa00
0.0,0.0,OConAi00
0.0,0.0,RiveRo01
1.0,0.0,SaubEr00
0.0,0.0,SmarSt00
0.0,0.0,TramAu00
0.0,0.0,WoerCh00
