Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Patrick Mahomes,KAN,QB,30,14,315.0,502.0,3587.0,22.0,11.0,64.0,422.0,6.59,5.0,1.0,1.0,-10.0,-10.0,0.0,3.0,0.0,5,0.0,2.0,285.7,MahoPa00
Zach Charbonnet,SEA,RB,24,16,0.0,0.0,0.0,0.0,0.0,184.0,730.0,3.97,12.0,24.0,20.0,144.0,7.2,0.0,0.0,0.0,12,1.0,0.0,181.4,CharZa00
Kenneth Walker III,SEA,RB,25,17,0.0,0.0,0.0,0.0,0.0,221.0,1027.0,4.65,5.0,36.0,31.0,282.0,9.1,0.0,1.0,0.0,5,0.0,0.0,191.9,WalkKe00
Jaylen Waddle,MIA,WR,27,16,1.0,1.0,8.0,0.0,0.0,2.0,28.0,14.0,0.0,100.0,64.0,910.0,14.22,6.0,1.0,0.0,6,0.0,0.0,194.1,WaddJa00
RJ Harvey,DEN,RB,24,17,0.0,1.0,0.0,0.0,0.0,146.0,540.0,3.7,7.0,58.0,47.0,356.0,7.57,5.0,1.0,1.0,12,0.0,0.0,206.6,HarvRJ00
Harold Fannin,CLE,TE,21,16,0.0,0.0,0.0,0.0,0.0,7.0,13.0,1.86,1.0,107.0,72.0,731.0,10.15,6.0,1.0,1.0,7,0.0,0.0,186.4,FannHa00
D.K. Metcalf,PIT,WR,28,15,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.0,1.0,99.0,59.0,850.0,14.41,6.0,0.0,0.0,7,0.0,0.0,187.2,MetcDK00
Parker Washington,JAX,WR,23,16,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,95.0,58.0,847.0,14.6,5.0,2.0,0.0,7,0.0,0.0,184.7,WashPa01
Tyler Warren,IND,TE,23,17,0.0,1.0,0.0,0.0,0.0,6.0,8.0,1.33,1.0,112.0,76.0,817.0,10.75,4.0,1.0,0.0,5,0.0,0.0,188.5,WarrTy00
Brock Bowers,LVR,TE,23,12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,86.0,64.0,680.0,10.63,7.0,0.0,0.0,7,1.0,0.0,176.2,BoweBr01
