Player,Tm,FantPos,Age,G,player_id
Mason Taylor,NYJ,TE,21,13,TaylMa02
Pat Bryant,DEN,WR,23,15,BryaPa00
Justice Hill,BAL,RB,28,10,HillJu00
Mike Gesicki,CIN,TE,30,13,GesiMi00
Devin Neal,NOR,RB,22,10,NealDe00
Kalif Raymond,DET,WR,31,15,RaymKa00
Sterling Shepard,TAM,WR,32,13,ShepSt00
Jaylen Wright,MIA,RB,22,10,WrigJa04
Jaylin Noel,HOU,WR,23,17,NoelJa00
Darnell Washington,PIT,TE,24,16,WashDa03
Jameis Winston,NYG,QB,31,3,WinsJa00
Daniel Bellinger,NYG,TE,25,16,BellDa00
Noah Fant,CIN,TE,28,15,FantNo00
Terrance Ferguson,LAR,TE,22,14,FergTe00
Matthew Golden,GNB,WR,22,14,GoldMa02
Van Jefferson,TEN,WR,29,16,JeffVa00
Tyler Lockett,2TM,WR,33,17,LockTy00
JuJu Smith-Schuster,KAN,WR,29,17,SmitJu00
Devaughn Vele,NOR,WR,28,13,VeleDe00
Tyler Huntley,BAL,QB,27,5,HuntTy01
Luke McCaffrey,WAS,WR,24,9,McCaLu00
Josh Oliver,MIN,TE,28,15,OlivJo00
Davis Allen,LAR,TE,24,17,AlleDa02
Malik Davis,DAL,RB,27,10,DaviMa02
Tre Harris,LAC,WR,23,17,HarrTr03
Michael Mayer,LVR,TE,24,13,MayeMi00
John Metchie,2TM,WR,25,16,MetcJo00
Malik Nabers,NYG,WR,22,4,NabeMa00
Cedric Tillman,CLE,WR,25,13,TillCe01
Kyle Williams,NWE,WR,23,17,WillKy03
Austin Hooper,NWE,TE,31,16,HoopAu00
Brashard Smith,KAN,RB,22,17,SmitBr09
Isaiah Bond,CLE,WR,21,16,BondIs00
Greg Dulcich,MIA,TE,25,10,DulcGr00
Jackson Hawes,BUF,TE,25,17,HaweJa00
Tim Patrick,JAX,WR,32,16,PatrTi00
Tommy Tremble,CAR,TE,25,17,TremTo00
Rashod Bateman,BAL,WR,26,13,BateRa00
Audric Estime,NOR,RB,22,7,EstiAu00
Travis Hunter,JAX,WR,22,7,HuntTr00
Demarcus Robinson,SFO,WR,31,14,RobiDe01
Isaiah Likely,BAL,TE,25,14,LikeIs00
Tyreek Hill,MIA,WR,31,4,HillTy00
Kyle Juszczyk,SFO,FB,34,17,JuszKy00
Jaylin Lane,WAS,WR,23,15,LaneJa00
Isaiah Williams,NYJ,WR,24,15,WillIs03
Jahan Dotson,PHI,WR,25,17,DotsJa00
Quinn Ewers,MIA,QB,22,4,EwerQu00
Philip Rivers,IND,QB,44,3,RivePh00
Devontez Walker,BAL,WR,24,12,WalkDe01
Taysom Hill,NOR,TE,35,13,HillTa00
Tyrell Shavers,BUF,WR,26,17,ShavTy00
David Sills V,ATL,WR,29,17,SillDa01
Mitchell Trubisky,BUF,QB,31,4,TrubMi00
Dyami Brown,JAX,WR,26,14,BrowDy00
Christian Kirk,HOU,WR,29,13,KirkCh01
Josh Palmer,BUF,WR,26,12,PalmJo00
Jayden Reed,GNB,WR,25,7,ReedJa03
Calvin Ridley,TEN,WR,31,7,RidlCa00
Xavier Smith,LAR,WR,28,16,SmitXa00
Mitchell Evans,CAR,TE,22,17,EvanMi01
Tanner Hudson,CIN,TE,31,15,HudsTa00
Riley Leonard,IND,QB,23,5,LeonRi02
Brandin Cooks,2TM,WR,32,15,CookBr00
Brady Cook,NYJ,QB,24,5,CookBr03
Elijah Higgins,ARI,TE,25,17,HiggEl00
Kendre Miller,NOR,RB,23,7,MillKe01
Chris Moore,WAS,WR,32,14,MoorCh00
