Player,Tm,FantPos,Age,G,player_id
Gage Larvadain,CLE,WR,23,13,LarvGa00
Aidan O'Connell,LVR,QB,27,1,OConAi00
Ronnie Rivers,LAR,RB,26,11,RiveRo01
Eric Saubert,SEA,TE,31,11,SaubEr00
Stone Smartt,NYJ,TE,27,15,SmarSt00
Austin Trammell,JAX,WR,27,6,TramAu00
Charlie Woerner,ATL,TE,28,17,WoerCh00
Dareke Young,SEA,WR,26,9,YounDa02
Braxton Berrios,HOU,WR,30,4,BerrBr00
Max Brosmer,MIN,QB,24,7,BrosMa00
Shane Buechele,KAN,QB,27,1,BuecSh00
Nathan Carter,ATL,RB,23,7,CartNa00
Julius Chestnut,TEN,RB,25,17,ChesJu00
Dylan Drummond,ATL,WR,25,9,DrumDy00
D'Wayne Eskridge,MIA,WR,28,13,EskrDW00
Kylen Granson,PHI,TE,27,17,GranKy00
Jalin Hyatt,NYG,WR,24,8,HyatJa00
Tom Kennedy,DET,WR,29,6,KennTo01
Keleki Latu,BUF,TE,23,5,LatuKe00
Albert Okwuegbunam,LVR,TE,27,1,OkwuAl00
Dameon Pierce,2TM,RB,25,5,PierDa01
Xavier Restrepo,TEN,WR,23,2,RestXa00
Cedrick Wilson Jr.,MIA,WR,30,10,WilsCe01
Tyson Bagent,CHI,QB,25,3,BageTy00
Teddy Bridgewater,TAM,QB,33,4,BridTe00
Jalen Brooks,2TM,WR,25,6,BrooJa03
Beaux Collins,NYG,WR,23,9,CollBe00
Devin Duvernay,CHI,WR,28,17,DuveDe00
Tai Felton,MIN,WR,22,17,FeltTa00
Reggie Gilliam,BUF,FB,28,17,GillRe00
Tyler Goodson,IND,RB,25,11,GoodTy00
KhaDarel Hodge,ATL,WR,30,12,HodgKh00
D'Ernest Johnson,2TM,RB,29,8,JohnDE04
Jacoby Jones,WAS,WR,24,1,JoneJa16
Velus Jones Jr.,2TM,WR,28,8,JoneVe00
Jonathan Mingo,DAL,WR,24,6,MingJo00
James Mitchell,CAR,TE,26,5,MitcJa00
Nikko Remigio,KAN,WR,26,14,RemiNi00
Ben Sims,2TM,TE,25,11,SimsBe00
Durham Smythe,CHI,TE,30,17,SmytDu00
Deven Thompkins,ATL,WR,26,7,ThomDe07
Jordan Watkins,SFO,WR,23,4,WatkJo00
Justin Watson,HOU,WR,29,3,WatsJu01
Jake Bobo,SEA,WR,27,11,BoboJa00
Britain Covey,PHI,WR,28,6,CoveBr00
DeeJay Dallas,2TM,RB,27,6,DallDe00
Joshua Dobbs,NWE,QB,30,4,DobbJo00
Clyde Edwards-Helaire,KAN,RB,26,2,EdwaCl00
Tucker Fisk,LAC,TE,26,10,FiskTu00
Roschon Johnson,CHI,RB,24,7,JohnRo07
Tim Jones,2TM,WR,27,4,JoneTi00
Jakobie Keeney-James,GNB,WR,25,1,KeenJa00
Lucas Krull,DEN,TE,27,3,KrulLu00
Will Mallory,IND,TE,26,2,MallWi00
Tay Martin,WAS,WR,28,3,MartTa00
Zaire Mitchell-Paden,2TM,TE,26,8,MitcZa00
David Moore,CAR,WR,30,4,MoorDa03
Tip Reiman,ARI,TE,24,4,ReimTi00
Cooper Rush,BAL,QB,32,4,RushCo00
Trent Sherfield,2TM,WR,29,12,SherTr00
Clayton Tune,GNB,QB,26,2,TuneCl00
Tahj Washington,MIA,WR,24,6,WashTa00
Jared Wayne,HOU,WR,25,1,WaynJa01
Jelani Woods,NYJ,TE,27,4,WoodJe01
Jacardia Wright,SEA,RB,25,1,WrigJa05
Colson Yankoff,WAS,TE,25,14,YankCo00
Shane Zylstra,DET,TE,29,6,ZylsSh00
Brandon Allen,TEN,QB,33,1,AlleBr00
Andre Baccellia,ARI,WR,28,5,BaccAn00
Alex Bachman,LVR,WR,29,13,BachAl00
Harrison Bryant,HOU,TE,27,12,BryaHa00
Sal Cannella,CLE,TE,29,2,CannSa00
Payne Durham,TAM,TE,25,17,DurhPa00
Ross Dwelley,DET,TE,30,11,DwelRo00
