,rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
29,30,Ashton Jeanty,LV,RB,17,0,0,0,975,5,55,346,5,0,0,0,0,14.4,245.1
30,31,Zay Flowers,BAL,WR,17,0,0,0,62,1,86,1211,5,0,0,0,0,14.3,243.3
31,32,Javonte Williams,DAL,RB,16,0,0,0,1201,11,35,137,2,0,0,0,0,15.2,242.8
32,33,Jaxson Dart,NYG,QB,14,2272,15,5,487,9,0,0,0,0,0,0,0,17.3,241.6
33,34,Josh Jacobs,GB,RB,15,0,0,0,929,13,36,282,1,0,0,0,0,15.8,237.1
34,35,Sam Darnold,SEA,QB,17,4048,25,14,95,0,0,0,0,0,0,1,0,13.8,235.4
35,36,Jordan Love,GB,QB,15,3381,23,6,199,0,0,0,0,0,0,0,0,15.7,235.1
36,37,Saquon Barkley,PHI,RB,16,0,0,0,1140,7,37,273,2,0,0,0,0,14.5,232.3
37,38,D'Andre Swift,CHI,RB,16,0,0,0,1087,9,34,299,1,0,0,0,0,14.3,228.6
38,39,Jacoby Brissett,ARI,QB,14,3366,23,8,168,1,0,0,0,0,0,0,0,16.2,227.4
39,40,Aaron Rodgers,PIT,QB,16,3322,24,7,61,1,1,-9,0,0,0,0,0,14.2,227.1
40,41,Daniel Jones,IND,QB,13,3101,19,8,164,5,0,0,0,0,0,0,0,17.4,226.4
41,42,Nico Collins,HOU,WR,15,0,0,0,15,1,71,1117,6,0,0,0,0,15.1,226.2
42,43,Davante Adams,LAR,WR,14,0,0,0,0,0,60,789,14,0,0,0,0,15.9,222.9
43,44,Kenny Gainwell,PIT,RB,17,0,0,0,537,5,73,486,3,0,0,1,0,13,221.3
44,45,Michael Wilson,ARI,WR,17,0,0,0,0,0,78,1006,7,0,0,0,0,13,220.6
45,46,A.J. Brown,PHI,WR,15,0,0,0,0,0,78,1003,7,0,0,0,0,14.7,220.3
46,47,Jameson Williams,DET,WR,17,0,0,0,12,0,65,1117,7,0,0,0,0,12.9,219.9
47,48,Courtland Sutton,DEN,WR,17,0,0,0,0,0,74,1017,7,0,0,0,0,12.9,219.7
48,49,Bryce Young,CAR,QB,16,3011,23,11,216,2,0,0,0,0,0,0,0,13.6,218
49,50,Wan'Dale Robinson,NYG,WR,16,0,0,0,5,0,92,1014,4,0,0,0,0,13.6,217.9
50,51,Jaylen Warren,PIT,RB,16,0,0,0,958,6,40,333,2,0,0,0,0,13.6,217.1
